,Latin Name,Stratification,Trtmnt started,.sown on,.germ on ,seeds left over
Yarrow,Achillea millefolium,a,,,,
"Yarrow, colorful",Achillea millefolium,a,,,,
Black Cohosh,Actea racemosa ,w/c/w  90/90/sow,,,,
Anise Hyssop,Agastache foeniculum,a,,,,
Marshmallow,Althea officinalis,30,,,,
Andrographis ,Andrographis paniculata,120 degree soak,,,,
Columbine,Aquilegia canadensis,60,,,,
Spikenard,Aralia racemosa,60,,,,
Wormwood,Artemisia absinthium,30,,,,
"Milkweed, Tall Green",Asclepia hirtella,30,,,,
"Milkweed, poke",Asclepias exaltata,30,,,,
"Milkweed, Rose",Asclepias incarnata,30,,,,
"Milkweed, Butterfly",Asclepias tuberosa,30,,,,
"Milkweed, redring",Asclepias variegata,30-60 trial,,,,
"Milkweed, Whorled",Asclepias verticillata,30,,,,
White Wild Indigo,Baptisia alba,Scar  c10,,,,
Blue Wild Indigo,Baptisia australis,Scar  c10,,,,
Indigo Wild Cream,Baptisia bracteata,Scar  c10,,,,
Dwarf Blue Indigo ,Baptisia minor,Scar  c10,,,,
Swamp marigold,Bidens aristosa,60,,,,
Downy woodmint,Blephilia ciliata,60,,,,
Hairy woodmint,Blephilia hirsuta,60,,,,
Borage,Borage officinalis,a,,,,
Calendula,Calendua officinalis,a,,,,
Gotu Kola,Centella asiatica,a,,,,
River Oats,Chasmanthium latifolium,60,,,,
Lambs Quarters,Chenopodium album,a,,,,
Red Aztec Spinach,Chenopodium berlandieri,a,,,,
"Chickory, wild form",Cichorium intybus,a,,,,
Lettuce Miners,Claytonia perfoliata,a,,,,
Spring Beauty,Claytonia virginica,w/c/w  90/90/sow,,,,
Mistflower,Conoclinium coelestinum,60,,,,
"Coreopsis, Lanceleaf",Coreopsis lanceolata,30,,,,
Lemongrass,Cymbopogon citratus,a,,,,
Narrow-Leaf Echinacea,Echinacea angustifolia,90,,,,
Pale Purple Coneflower,Echinacea pallida,90,,,,
Echinacea,Echinacea purpurea,a,,,,
Rattlesnake master,Eryngium yuccifolium,30,,,,
Boneset,Eupatorium perfoliatum,30,,,,
"Joe Pye Weed, Little",Eutrochium dubium,30 and 60 trial,,,,
"Joe Pye Weed, Hollow",Eutrochium fistulosum,60,,,,
Joe Pye Weed,Eutrochium maculatum,30,,,,
"Joe Pye Weed, Sweet",Eutrochium purpureum,30,,,,
"Sunflower, Woodland",Helianthus divaricatus,a,,,,
"Sunflower, Western",Helianthus occidentalis,30,,,,
"Sunflower, Early",Heliopsis helianthoides,30,,,,
Rose Mallow,Hibiscus laevis,60,,,,
Hibiscus,Hibiscus sabdariffa,a,,,,
St John's Wort,Hypericum perforatum,a,,,,
Shrubby St. John's Wort,Hypericum prolificum,a,,,,
"St. Johns wort, Dotted",Hypericum punctatum,60,,,,
Elecampane,Inula helenium,a,,,,
Wild Dagga,Leonitus leonurus,a,,,,
Motherwort,Leonurus cardiaca ,a,,,,
Round Headed Bush Clover,Lespedeza capitata,Scar  c10,,,,
Button Blazing Star,Liatris aspera,60,,,,
Dense Blazing Star,Liatris spicata,60,,,,
Cardinal Flower,Lobelia cardinalis,60,,,,
Lobelia,Lobelia inflata,60,,,,
Chamomile,Matricaria recutita,a,,,,
peppermint,Mentha piperita,a,,,,
Spearmint,Mentha spicata,a,,,,
Bradbury's Monarda,Monarda bradburiana,60,,,,
"Monarda, Bee Balm",Monarda didyma,a,,,,
"Monarda, Wild Bergamot",Monarda fistulosa,a,,,,
Spotted Bee Balm,Monarda punctata,a,,,,
Catnip,Nepeta cataria,a,,,,
"Holy Basil, Temperate",Ocimum africanum,a,,,,
"Holy Basil, Vana",Ocimum gratissimum,a,,,,
"Holy Basil, Krishna",Ocimum tenuiflorum,a,,,,
"Holy Basil, Rama",Ocimum tenuiflorum,a,,,,
Marjoram,origanum marjoram,a,,,,
Oregano,origanum vulgare,a,,,,
Passionflower,Passiflora incarnata,60,,,,
Wood Betony,Pedicularis canadensis,30,,,,
"Mtn. Mint, Hoary",Pycnanthemum incanum,a,,,,
"Mtn. Mint, Clustered",Pycnanthemum muticum ,a,,,,
"Mtn. Mint, Slender",Pycnanthemum tenuifolium,a,,,,
"Mtn. Mint, Hairy",Pycnanthemum verticillatum,a,,,,
Mtn Mint,Pycnanthemum virginianum,a,,,,
Grey Headed Coneflower,Ratibida pinata,30,,,,
Rosemary,Rosmarinus officinalis,30,,,,
Common Madder,Rubia tinctorum,a,,,,
Orange Coneflower,Rudebeckia fulgida,60,,,,
Black Eyed Susan,Rudebeckia hirta,30,,,,
Cutleaf Coneflower,Rudebeckia laciniata,30,,,,
Brown Eyed Susan,Rudebeckia triloba,30,,,,
"Sorrel, Garden",Rumex acetosa,a,,,,
White Sage,Salvia apiana,a,,,,
Blue Sage,Salvia azurea,a,,,,
Blue Salvia,Salvia horminum,a,,,,
pink Salvia,Salvia horminum,a,,,,
Sage,Salvia officinalis,a,,,,
Little Blue Stem,Schizachyrium scoparium,a,,,,
"Skullcap, Hoary",Scutellaria incana,60,,,,
"Skullcap, Mad dog",Scutellaria lateriflora,60,,,,
Royal Catchfly,Silene regia,60,,,,
Spilanthes,Spilanthes acmella,a,,,,
Meadowsweet,Spirea ulmaria,30-60 trial,,,,
Calico Aster,Symphyotrichum lateriflorum,,,,,
New England Aster,Symphyotrichum navae-angliae,60,,,,
Frost Aster,Symphyotrichum pilosum,60,,,,
Swap Aster,Symphyotrichum punicem,60,,,,
Shorts Aster,Symphyotrichum shortii,30,,,,
New Zealand Spinach,Tetragonia tetragonoides,overnight soak,,,,
Thyme,Thymus vulgaris,a,,,,
Nasturtium,Tropaeolum majus,overnight soak,,,,
Stinging Nettle,Urtica dioica,a,,,,
Valerian,Valerian officinalis,a,,,,
Mullein,Verbascum thapsus,a,,,,
Blue Vervain,Verbena hastata,30,,,,
Common Ironweed,Vernonia fascicultata,60,,,,
"Ironweed, Missouri",Vernonia missurica,60,,,,
"Ashwagandha, Vedic",Withania somnifera,a,,,,
